name,id,classification,mass,year,latitude,longitude
Aarhus,2,H6,720.0,1951.0,56.183330000000005,10.23333
Abee,6,EH4,107000.0,1952.0,54.21666999999999,-113.0
Acapulco,10,Acapulcoite,1914.0,1976.0,16.883329999999997,-99.9
Achiras,370,L6,780.0,1902.0,-33.16667,-64.95
Adhi Kot,379,EH4,4239.0,1919.0,32.1,71.8
Adzhi-Bogdo (stone),390,LL3-6,910.0,1949.0,44.83333,95.16667
Agen,392,H5,30000.0,1814.0,44.21667,0.6166699999999999
Aguada,398,L6,1620.0,1930.0,-31.6,-65.23333000000001
Aguila Blanca,417,L,1440.0,1920.0,-30.866670000000003,-64.55
Aioun el Atrouss,423,Diogenite-pm,1000.0,1974.0,16.39806,-9.57028
Aïr,424,L6,24000.0,1925.0,19.08333,8.38333
Akaba,426,L6,779.0,1949.0,29.51667,35.05
Akbarpur,427,H4,1800.0,1838.0,29.71667,77.95
Akwanga,432,H,3000.0,1959.0,8.91667,8.43333
Akyumak,433,"Iron, IVA",50000.0,1981.0,39.91667,42.81667
Al Rais,446,CR2-an,160.0,1957.0,24.41667,39.51667
Al Zarnkh,447,LL5,700.0,2001.0,13.660329999999998,28.96
Alais,448,CI1,6000.0,1806.0,44.11667,4.08333
Albareto,453,L/LL4,2000.0,1766.0,44.65,11.01667
Alberta,454,L,625.0,1949.0,2.0,22.66667
Alby sur Chéran,458,Eucrite-mmict,252.0,2002.0,45.821329999999996,6.0153300000000005
Aldsworth,461,LL5,700.0,1835.0,51.78333,-1.7833299999999999
Aleppo,462,L6,3200.0,1873.0,36.23333,37.13333
Alessandria,463,H5,908.0,1860.0,44.88333,8.75
Alexandrovsky,465,H4,9251.0,1900.0,50.95,31.816670000000002
Alfianello,466,L6,228000.0,1883.0,45.26667,10.15
Allegan,2276,H5,32000.0,1899.0,42.53333,-85.88333
Allende,2278,CV3,2000000.0,1969.0,26.96667,-105.31667
Almahata Sitta,48915,Ureilite-an,3950.0,2008.0,20.74575,32.41275
Alta'ameem,2284,LL5,6000.0,1977.0,35.27333,44.215559999999996
Ambapur Nagla,2290,H5,6400.0,1895.0,27.66667,78.25
Andhara,2294,Stone-uncl,2700.0,1880.0,26.58333,85.56667
Andover,2295,L6,3200.0,1898.0,44.61667,-70.75
Andreevka,2296,L3,600.0,1969.0,48.7,37.5
Andura,2298,H6,17900.0,1939.0,20.883329999999997,76.86667
Angra dos Reis (stone),2302,Angrite,1500.0,1869.0,-22.96667,-44.31667
Ankober,2304,H4,6500.0,1942.0,9.53333,39.71667
Anlong,2305,H5,2500.0,1971.0,25.15,105.18333
Aomori,2313,L6,320.0,1984.0,40.810559999999995,140.78556
Appley Bridge,2318,LL6,15000.0,1914.0,53.583330000000004,-2.71667
Apt,2320,L6,3200.0,1803.0,43.86667,5.38333
Arbol Solo,2325,H5,810.0,1954.0,-33.0,-66.0
Archie,2329,H6,5070.0,1932.0,38.5,-94.3
Arroyo Aguiar,2340,H5,7450.0,1950.0,-31.41667,-60.666669999999996
Ash Creek,48954,L6,9500.0,2009.0,31.805,-97.01
Ashdon,2346,L6,1300.0,1923.0,52.05,0.3
Assisi,2353,H5,2000.0,1886.0,43.03333,12.55
Atarra,4883,L4,1280.0,1920.0,25.254170000000002,80.625
Athens,4885,LL6,265.0,1933.0,34.75,-87.0
Atoka,4888,L6,1384.2,1945.0,34.31667,-96.15
Aubres,4893,Aubrite,800.0,1836.0,44.38333,5.16667
Aumale,4899,L6,50000.0,1865.0,36.16667,3.66667
Aumieres,4900,L6,2000.0,1842.0,44.33333,3.23333
Ausson,4903,L5,50000.0,1858.0,43.08333,0.58333
Avanhandava,4905,H4,9330.0,1952.0,-21.460279999999997,-49.950829999999996
Avce,4906,"Iron, IIAB",1230.0,1908.0,46.0,13.5
Avilez,4907,H,146.0,1855.0,25.0,-103.5
Awere,4910,L4,134.0,1968.0,2.71667,32.83333
Aztec,4913,L6,2830.0,1938.0,36.8,-108.0
Bachmut,4917,L6,18000.0,1814.0,48.6,38.0
Bahjoi,4922,"Iron, IAB-sLL",10322.0,1934.0,28.48333,78.5
Bald Mountain,4925,L4,3700.0,1929.0,35.96667,-82.48333000000001
Baldwyn,4926,L6,345.0,1922.0,34.5,-88.66667
Bali,4928,CV3,1000.0,1907.0,5.38333,16.383329999999997
Ban Rong Du,4934,"Iron, ungrouped",16700.0,1993.0,16.66667,101.18333
Bandong,4935,LL6,11500.0,1871.0,-6.91667,107.6
Bansur,4936,L6,15000.0,1892.0,27.7,76.33333
Banten,4938,CM2,629.0,1933.0,-6.33333,106.0
Barbotan,4942,H5,6400.0,1790.0,43.95,-0.05
Barea,4946,Mesosiderite-A1,3200.0,1842.0,42.38333,-2.5
Baroti,4949,L6,4500.0,1910.0,31.616670000000003,76.8
Barwell,4954,L5,44000.0,1965.0,52.56528,-1.33972
Bassikounou,44876,H5,29560.0,2006.0,15.78333,-5.9
Baszkówka,4957,L5,15500.0,1994.0,52.03333,20.93583
